Trial,Post-Stimulus Frontal Mean,Pre-Response Frontal Mean,Post-Stimulus Frontal Stdev,Pre-Response Frontal Stdev,Post-Stimulus Central Mean,Pre-Response Central Mean,Post-Stimulus Central Stdev,Pre-Response Central Stdev,Post-Stimulus Temporal-L Mean,Pre-Response Temporal-L Mean,Post-Stimulus Temporal-L Stdev,Pre-Response Temporal-L Stdev,Post-Stimulus Temporal-R Mean,Pre-Response Temporal-R Mean,Post-Stimulus Temporal-R Stdev,Pre-Response Temporal-R Stdev,Post-Stimulus Occipital Mean,Pre-Response Occipital Mean,Post-Stimulus Occipital Stdev,Pre-Response Occipital Stdev
0,0.047639,0.266315,5.8098116,5.827612,0.034504265,0.21486647,3.450995,3.305106,-0.04967786,-0.28072834,4.2373776,3.6429796,-0.009056304,-0.009931795,4.533717,4.3573394,-0.01642062,-0.2754353,5.2200303,5.187511
1,0.17287926,-0.049727965,6.338728,5.5410404,-0.13470916,0.022837525,3.8960812,3.6464632,0.08187627,0.010448675,4.4356294,3.8738942,-0.057572365,-0.058456283,4.7471313,4.459401,-0.0684886,-0.0097294515,6.2034016,5.1834173
2,0.41343513,-0.14498831,6.3151464,5.4286385,-0.04097336,-0.20161633,3.675254,3.0405738,0.025895355,0.09113566,4.604807,3.7032883,0.1234298,0.060604047,4.709692,3.8091116,-0.30784225,0.3351315,5.8101344,4.8469653
3,-0.027753562,-0.08106194,5.693809,5.0524178,0.0038233337,0.012866539,3.2923872,3.0072968,0.13641676,-0.18014939,3.8507645,4.819548,0.06428518,-0.07941277,3.7333968,4.3859735,-0.08862696,0.1654551,5.1837716,4.699205
4,-0.10980049,-0.058745246,5.6999,5.2441974,-0.13328703,-0.06168726,3.8615832,3.4826815,0.36011097,-0.0009576455,5.0584316,4.669099,0.0967781,0.07977256,4.8569646,4.378647,-0.033619385,-0.054665465,5.6867094,4.9839697
5,0.015456733,0.16202824,6.0131817,5.960086,0.16207449,-0.025515527,3.6624112,3.4353192,-0.055932257,-0.0839831,4.5019917,5.2993107,-0.027229583,0.17257573,4.7148647,5.041651,-0.22705357,-0.11537031,4.904746,5.29105
6,-0.43884635,0.18389894,5.6867566,5.9669337,0.045801844,-0.044886872,3.5692089,3.4145212,-0.0488485,0.020344216,5.3456697,5.534422,-0.024867147,0.034904193,5.003544,4.8043,0.20445295,-0.08106901,5.2518535,4.7044153
7,-0.16273154,-0.15565698,6.9290156,6.7615438,0.09982445,-0.0663315,3.4379585,3.7646184,-0.082395874,-0.17396022,5.130787,6.866105,0.09170931,0.107357435,5.6557355,5.2102537,-0.104106255,0.02353909,5.15041,5.4480762
8,0.22045809,0.073414184,6.875379,6.3745017,0.18323569,0.018657949,3.3608298,3.3265135,-0.107181154,-0.025322542,5.4241977,6.1443872,-0.10137633,-0.06509671,4.90868,4.9280963,-0.19676,-0.15536663,5.614119,4.8921576
9,0.05052491,0.37738335,4.616882,8.980997,0.12341964,-0.1857605,3.9315825,3.8267775,0.005846104,0.14975025,5.1019077,6.602584,-0.17731576,0.1719699,4.018828,6.542355,-0.09497247,-0.30043226,5.311423,5.341549
